distance_m,received_power_w,signal_current_a,snr_db,theoretical_ber
622.0,6.070727043535e-08,1.821218113061e-08,-6.987044709845e+00,4.114973725602e-01
624.0,5.946531859121e-08,1.783959557736e-08,-7.166552550645e+00,4.132787155137e-01
626.0,5.824996379408e-08,1.747498913822e-08,-7.345883741134e+00,4.150236465578e-01
628.0,5.706060592884e-08,1.711818177865e-08,-7.525039393842e+00,4.167328835157e-01
630.0,5.589665923803e-08,1.676899777141e-08,-7.704020610942e+00,4.184071332512e-01
632.0,5.475755195548e-08,1.642726558664e-08,-7.882828484367e+00,4.200470915778e-01
634.0,5.364272594999e-08,1.609281778500e-08,-8.061464095942e+00,4.216534431913e-01
636.0,5.255163637870e-08,1.576549091361e-08,-8.239928517504e+00,4.232268616249e-01
638.0,5.148375134994e-08,1.544512540498e-08,-8.418222811021e+00,4.247680092259e-01
640.0,5.043855159519e-08,1.513156547856e-08,-8.596348028715e+00,4.262775371493e-01
642.0,4.941553014997e-08,1.482465904499e-08,-8.774305213175e+00,4.277560853711e-01
644.0,4.841419204335e-08,1.452425761300e-08,-8.952095397474e+00,4.292042827147e-01
646.0,4.743405399584e-08,1.423021619875e-08,-9.129719605286e+00,4.306227468943e-01
648.0,4.647464412545e-08,1.394239323764e-08,-9.307178850992e+00,4.320120845690e-01
650.0,4.553550166159e-08,1.366065049848e-08,-9.484474139795e+00,4.333728914107e-01
652.0,4.461617666674e-08,1.338485300002e-08,-9.661606467830e+00,4.347057521814e-01
654.0,4.371622976547e-08,1.311486892964e-08,-9.838576822264e+00,4.360112408209e-01
656.0,4.283523188081e-08,1.285056956424e-08,-1.001538618141e+01,4.372899205429e-01
658.0,4.197276397756e-08,1.259182919327e-08,-1.019203551483e+01,4.385423439391e-01
660.0,4.112841681250e-08,1.233852504375e-08,-1.036852578343e+01,4.397690530901e-01
662.0,4.030179069121e-08,1.209053720736e-08,-1.054485793958e+01,4.409705796830e-01
664.0,3.949249523131e-08,1.184774856939e-08,-1.072103292718e+01,4.421474451335e-01
666.0,3.870014913204e-08,1.161004473961e-08,-1.089705168179e+01,4.433001607141e-01
668.0,3.792437994987e-08,1.137731398496e-08,-1.107291513072e+01,4.444292276853e-01
670.0,3.716482388002e-08,1.114944716401e-08,-1.124862419312e+01,4.455351374314e-01
672.0,3.642112554378e-08,1.092633766314e-08,-1.142417978007e+01,4.466183715986e-01
674.0,3.569293778137e-08,1.070788133441e-08,-1.159958279468e+01,4.476794022367e-01
676.0,3.497992145024e-08,1.049397643507e-08,-1.177483413219e+01,4.487186919418e-01
678.0,3.428174522868e-08,1.028452356860e-08,-1.194993468003e+01,4.497366940018e-01
680.0,3.359808542448e-08,1.007942562735e-08,-1.212488531796e+01,4.507338525428e-01
682.0,3.292862578872e-08,9.878587736615e-09,-1.229968691810e+01,4.517106026764e-01
684.0,3.227305733420e-08,9.681917200260e-09,-1.247434034505e+01,4.526673706482e-01
686.0,3.163107815881e-08,9.489323447642e-09,-1.264884645599e+01,4.536045739865e-01
688.0,3.100239327328e-08,9.300717981984e-09,-1.282320610070e+01,4.545226216508e-01
690.0,3.038671443355e-08,9.116014330066e-09,-1.299742012174e+01,4.554219141810e-01
692.0,2.978375997735e-08,8.935127993204e-09,-1.317148935443e+01,4.563028438455e-01
694.0,2.919325466503e-08,8.757976399510e-09,-1.334541462701e+01,4.571657947894e-01
696.0,2.861492952455e-08,8.584478857366e-09,-1.351919676068e+01,4.580111431815e-01
698.0,2.804852170034e-08,8.414556510103e-09,-1.369283656968e+01,4.588392573609e-01
700.0,2.749377430612e-08,8.248132291836e-09,-1.386633486137e+01,4.596504979823e-01
702.0,2.695043628145e-08,8.085130884435e-09,-1.403969243634e+01,4.604452181602e-01
704.0,2.641826225196e-08,7.925478675589e-09,-1.421291008843e+01,4.612237636119e-01
706.0,2.589701239315e-08,7.769103717944e-09,-1.438598860482e+01,4.619864727991e-01
708.0,2.538645229761e-08,7.615935689284e-09,-1.455892876615e+01,4.627336770679e-01
710.0,2.488635284571e-08,7.465905853712e-09,-1.473173134652e+01,4.634657007877e-01
712.0,2.439649007944e-08,7.318947023833e-09,-1.490439711362e+01,4.641828614873e-01
714.0,2.391664507960e-08,7.174993523881e-09,-1.507692682877e+01,4.648854699910e-01
716.0,2.344660384595e-08,7.033981153784e-09,-1.524932124700e+01,4.655738305515e-01
718.0,2.298615718046e-08,6.895847154139e-09,-1.542158111710e+01,4.662482409816e-01
720.0,2.253510057353e-08,6.760530172059e-09,-1.559370718172e+01,4.669089927838e-01
722.0,2.209323409298e-08,6.627970227895e-09,-1.576570017742e+01,4.675563712783e-01
724.0,2.166036227593e-08,6.498108682778e-09,-1.593756083472e+01,4.681906557290e-01
726.0,2.123629402327e-08,6.370888206982e-09,-1.610928987819e+01,4.688121194672e-01
728.0,2.082084249695e-08,6.246252749085e-09,-1.628088802651e+01,4.694210300135e-01
730.0,2.041382501962e-08,6.124147505885e-09,-1.645235599252e+01,4.700176491983e-01
732.0,2.001506297694e-08,6.004518893082e-09,-1.662369448329e+01,4.706022332790e-01
734.0,1.962438172227e-08,5.887314516682e-09,-1.679490420018e+01,4.711750330566e-01
736.0,1.924161048370e-08,5.772483145111e-09,-1.696598583890e+01,4.717362939895e-01
738.0,1.886658227343e-08,5.659974682028e-09,-1.713694008958e+01,4.722862563052e-01
740.0,1.849913379935e-08,5.549740139805e-09,-1.730776763681e+01,4.728251551107e-01
742.0,1.813910537889e-08,5.441731613666e-09,-1.747846915972e+01,4.733532204999e-01
744.0,1.778634085489e-08,5.335902256466e-09,-1.764904533202e+01,4.738706776602e-01
746.0,1.744068751363e-08,5.232206254089e-09,-1.781949682208e+01,4.743777469757e-01
748.0,1.710199600485e-08,5.130598801454e-09,-1.798982429293e+01,4.748746441302e-01
750.0,1.677012026370e-08,5.031036079111e-09,-1.816002840240e+01,4.753615802064e-01
752.0,1.644491743470e-08,4.933475230410e-09,-1.833010980310e+01,4.758387617845e-01
754.0,1.612624779744e-08,4.837874339233e-09,-1.850006914253e+01,4.763063910384e-01
756.0,1.581397469421e-08,4.744192408263e-09,-1.866990706308e+01,4.767646658301e-01
758.0,1.550796445931e-08,4.652389337794e-09,-1.883962420212e+01,4.772137798019e-01
760.0,1.520808635017e-08,4.562425905051e-09,-1.900922119205e+01,4.776539224675e-01
762.0,1.491421248005e-08,4.474263744014e-09,-1.917869866034e+01,4.780852793002e-01
764.0,1.462621775247e-08,4.387865325740e-09,-1.934805722958e+01,4.785080318206e-01
766.0,1.434397979717e-08,4.303193939150e-09,-1.951729751752e+01,4.789223576815e-01
768.0,1.406737890765e-08,4.220213672294e-09,-1.968642013717e+01,4.793284307513e-01
770.0,1.379629798021e-08,4.138889394063e-09,-1.985542569677e+01,4.797264211960e-01
772.0,1.353062245448e-08,4.059186736345e-09,-2.002431479991e+01,4.801164955591e-01
774.0,1.327024025536e-08,3.981072076607e-09,-2.019308804553e+01,4.804988168404e-01
776.0,1.301504173636e-08,3.904512520909e-09,-2.036174602800e+01,4.808735445722e-01
778.0,1.276491962437e-08,3.829475887311e-09,-2.053028933713e+01,4.812408348949e-01
780.0,1.251976896564e-08,3.755930689691e-09,-2.069871855825e+01,4.816008406304e-01
782.0,1.227948707314e-08,3.683846121943e-09,-2.086703427224e+01,4.819537113543e-01
784.0,1.204397347521e-08,3.613192042563e-09,-2.103523705558e+01,4.822995934659e-01
786.0,1.181312986529e-08,3.543938959588e-09,-2.120332748038e+01,4.826386302580e-01
788.0,1.158686005305e-08,3.476058015916e-09,-2.137130611444e+01,4.829709619835e-01
790.0,1.136506991652e-08,3.409520974956e-09,-2.153917352129e+01,4.832967259223e-01
792.0,1.114766735544e-08,3.344300206633e-09,-2.170693026022e+01,4.836160564451e-01
794.0,1.093456224573e-08,3.280368673720e-09,-2.187457688633e+01,4.839290850776e-01
796.0,1.072566639498e-08,3.217699918494e-09,-2.204211395060e+01,4.842359405614e-01
798.0,1.052089349906e-08,3.156268049717e-09,-2.220954199987e+01,4.845367489151e-01
800.0,1.032015909970e-08,3.096047729910e-09,-2.237686157692e+01,4.848316334936e-01
