distance_m,received_power_w,signal_current_a,snr_db,theoretical_ber
124.0,5.200423317128e-05,1.560126995138e-05,5.052522057740e+01,0.000000000000e+00
126.0,4.967780253890e-05,1.490334076167e-05,5.017296305229e+01,0.000000000000e+00
128.0,4.747862583086e-05,1.424358774926e-05,4.982290928880e+01,0.000000000000e+00
130.0,4.539829181473e-05,1.361948754442e-05,4.947503141176e+01,0.000000000000e+00
132.0,4.342904776723e-05,1.302871433017e-05,4.912930197387e+01,0.000000000000e+00
134.0,4.156373970195e-05,1.246912191059e-05,4.878569390408e+01,0.000000000000e+00
136.0,3.979575876793e-05,1.193872763038e-05,4.844418046575e+01,0.000000000000e+00
138.0,3.811899310595e-05,1.143569793179e-05,4.810473522318e+01,0.000000000000e+00
140.0,3.652778454069e-05,1.095833536221e-05,4.776733201536e+01,0.000000000000e+00
142.0,3.501688956482e-05,1.050506686945e-05,4.743194493553e+01,0.000000000000e+00
144.0,3.358144413913e-05,1.007443324174e-05,4.709854831587e+01,0.000000000000e+00
146.0,3.221693189055e-05,9.665079567164e-06,4.676711671644e+01,0.000000000000e+00
148.0,3.091915534118e-05,9.275746602354e-06,4.643762491743e+01,0.000000000000e+00
150.0,2.968420984461e-05,8.905262953383e-06,4.611004791441e+01,0.000000000000e+00
152.0,2.850845994449e-05,8.552537983346e-06,4.578436091581e+01,0.000000000000e+00
154.0,2.738851790316e-05,8.216555370947e-06,4.546053934228e+01,0.000000000000e+00
156.0,2.632122417746e-05,7.896367253238e-06,4.513855882756e+01,0.000000000000e+00
158.0,2.530362964383e-05,7.591088893148e-06,4.481839522036e+01,0.000000000000e+00
160.0,2.433297939728e-05,7.299893819184e-06,4.450002458727e+01,0.000000000000e+00
162.0,2.340669796824e-05,7.022009390472e-06,4.418342321610e+01,0.000000000000e+00
164.0,2.252237581820e-05,6.756712745460e-06,4.386856761979e+01,0.000000000000e+00
166.0,2.167775699040e-05,6.503327097121e-06,4.355543454046e+01,0.000000000000e+00
168.0,2.087072780488e-05,6.261218341465e-06,4.324400095362e+01,0.000000000000e+00
170.0,2.009930649899e-05,6.029791949698e-06,4.293424407240e+01,0.000000000000e+00
172.0,1.936163372485e-05,5.808490117456e-06,4.262614135165e+01,0.000000000000e+00
174.0,1.865596382438e-05,5.596789147313e-06,4.231967049189e+01,0.000000000000e+00
176.0,1.798065681059e-05,5.394197043177e-06,4.201480944305e+01,0.000000000000e+00
178.0,1.733417099128e-05,5.200251297383e-06,4.171153640795e+01,0.000000000000e+00
180.0,1.671505617729e-05,5.014516853187e-06,4.140982984544e+01,0.000000000000e+00
182.0,1.612194742368e-05,4.836584227103e-06,4.110966847329e+01,0.000000000000e+00
184.0,1.555355925679e-05,4.666067777038e-06,4.081103127069e+01,0.000000000000e+00
186.0,1.500868034520e-05,4.502604103559e-06,4.051389748042e+01,0.000000000000e+00
188.0,1.448616857609e-05,4.345850572826e-06,4.021824661071e+01,0.000000000000e+00
190.0,1.398494650275e-05,4.195483950826e-06,3.992405843666e+01,0.000000000000e+00
192.0,1.350399713177e-05,4.051199139532e-06,3.963131300146e+01,0.000000000000e+00
194.0,1.304236002151e-05,3.912708006453e-06,3.933999061713e+01,0.000000000000e+00
196.0,1.259912766623e-05,3.779738299869e-06,3.905007186504e+01,0.000000000000e+00
198.0,1.217344214239e-05,3.652032642717e-06,3.876153759607e+01,0.000000000000e+00
200.0,1.176449199586e-05,3.529347598758e-06,3.847436893052e+01,0.000000000000e+00
202.0,1.137150935066e-05,3.411452805197e-06,3.818854725765e+01,0.000000000000e+00
204.0,1.099376722161e-05,3.298130166484e-06,3.790405423504e+01,0.000000000000e+00
206.0,1.063057701483e-05,3.189173104449e-06,3.762087178768e+01,6.709016218007e-317
208.0,1.028128620127e-05,3.084385860382e-06,3.733898210675e+01,3.694880547349e-297
210.0,9.945276150063e-06,2.983582845019e-06,3.705836764829e+01,9.722220418212e-279
212.0,9.621960109223e-06,2.886588032767e-06,3.677901113158e+01,1.518077993562e-261
214.0,9.310781322624e-06,2.793234396787e-06,3.650089553734e+01,1.718681529538e-245
216.0,9.011211272893e-06,2.703363381868e-06,3.622400410583e+01,1.697931085950e-230
218.0,8.722748040830e-06,2.616824412249e-06,3.594832033465e+01,1.737336748100e-216
220.0,8.444914772700e-06,2.533474431810e-06,3.567382797652e+01,2.157487327294e-203
222.0,8.177258247477e-06,2.453177474243e-06,3.540051103688e+01,3.765808698471e-191
224.0,7.919347536745e-06,2.375804261023e-06,3.512835377131e+01,1.058392157243e-179
226.0,7.670772750554e-06,2.301231825166e-06,3.485734068295e+01,5.432532226119e-169
228.0,7.431143863074e-06,2.229343158922e-06,3.458745651974e+01,5.722810854410e-159
230.0,7.200089612363e-06,2.160026883709e-06,3.431868627156e+01,1.378661965879e-149
232.0,6.977256469035e-06,2.093176940710e-06,3.405101516741e+01,8.397090077903e-141
234.0,6.762307668983e-06,2.028692300695e-06,3.378442867235e+01,1.419245356420e-132
236.0,6.554922305736e-06,1.966476691721e-06,3.351891248454e+01,7.257282932496e-125
238.0,6.354794478328e-06,1.906438343498e-06,3.325445253213e+01,1.216540391950e-117
240.0,6.161632490879e-06,1.848489747264e-06,3.299103497014e+01,7.202546301161e-111
242.0,5.975158100404e-06,1.792547430121e-06,3.272864617732e+01,1.614123069198e-104
