distance_m,number_of_bits,error_count,measured_ber,theoretical_ber,snr_db,received_power_w,signal_current_a
400.0,100000,434,4.340000000000e-03,4.336178898444e-03,1.439327911984e+01,7.129792063776e-07,2.138937619133e-07
442.0,100000,5489,5.489000000000e-02,5.534117933267e-02,1.007109373946e+01,4.331279153781e-07,1.299383746134e-07
500.0,100000,20461,2.046100000000e-01,2.046282839216e-01,4.348991328005e+00,2.240000282028e-07,6.720000846083e-08
544.0,100000,30579,3.057900000000e-01,3.051399963214e-01,1.647042405981e-01,1.383330329761e-07,4.149990989282e-08
600.0,100000,38902,3.890200000000e-01,3.892836610372e-01,-5.000470589520e+00,7.631133728299e-08,2.289340118490e-08
