samples_per_bit,total_waveform_samples,error_count,measured_ber,theoretical_ber,absolute_ber_difference,snr_db,received_power_w,signal_current_a
1,50000,2716,5.432000000000e-02,5.534117933267e-02,1.021179332670e-03,1.007109373946e+01,4.331279153781e-07,1.299383746134e-07
4,200000,2664,5.328000000000e-02,5.534117933267e-02,2.061179332670e-03,1.007109373946e+01,4.331279153781e-07,1.299383746134e-07
8,400000,2721,5.442000000000e-02,5.534117933267e-02,9.211793326696e-04,1.007109373946e+01,4.331279153781e-07,1.299383746134e-07
16,800000,2713,5.426000000000e-02,5.534117933267e-02,1.081179332670e-03,1.007109373946e+01,4.331279153781e-07,1.299383746134e-07
