wavelength_nm,temperature_c,depolarization_ratio,beta_90_per_m_sr,scattering_coefficient_per_m
448.0,20.0,0.039,1.890511167890e-04,3.108132542063e-03
449.0,20.0,0.039,1.872754562189e-04,3.078939440771e-03
450.0,20.0,0.039,1.855208028913e-04,3.050091713235e-03
451.0,20.0,0.039,1.837868554442e-04,3.021584404851e-03
452.0,20.0,0.039,1.820733176209e-04,2.993412644954e-03
453.0,20.0,0.039,1.803798981705e-04,2.965571645173e-03
454.0,20.0,0.039,1.787063107496e-04,2.938056697822e-03
455.0,20.0,0.039,1.770522738265e-04,2.910863174327e-03
456.0,20.0,0.039,1.754175105882e-04,2.883986523683e-03
457.0,20.0,0.039,1.738017488480e-04,2.857422270956e-03
458.0,20.0,0.039,1.722047209569e-04,2.831166015805e-03
459.0,20.0,0.039,1.706261637155e-04,2.805213431049e-03
460.0,20.0,0.039,1.690658182884e-04,2.779560261255e-03
461.0,20.0,0.039,1.675234301209e-04,2.754202321364e-03
462.0,20.0,0.039,1.659987488566e-04,2.729135495342e-03
463.0,20.0,0.039,1.644915282577e-04,2.704355734867e-03
464.0,20.0,0.039,1.630015261264e-04,2.679859058038e-03
465.0,20.0,0.039,1.615285042280e-04,2.655641548112e-03
466.0,20.0,0.039,1.600722282167e-04,2.631699352277e-03
467.0,20.0,0.039,1.586324675611e-04,2.608028680437e-03
468.0,20.0,0.039,1.572089954732e-04,2.584625804040e-03
469.0,20.0,0.039,1.558015888379e-04,2.561487054915e-03
470.0,20.0,0.039,1.544100281440e-04,2.538608824146e-03
471.0,20.0,0.039,1.530340974171e-04,2.515987560962e-03
472.0,20.0,0.039,1.516735841536e-04,2.493619771658e-03
473.0,20.0,0.039,1.503282792565e-04,2.471502018530e-03
474.0,20.0,0.039,1.489979769717e-04,2.449630918839e-03
475.0,20.0,0.039,1.476824748269e-04,2.428003143797e-03
476.0,20.0,0.039,1.463815735706e-04,2.406615417570e-03
477.0,20.0,0.039,1.450950771130e-04,2.385464516305e-03
478.0,20.0,0.039,1.438227924681e-04,2.364547267178e-03
479.0,20.0,0.039,1.425645296969e-04,2.343860547459e-03
480.0,20.0,0.039,1.413201018518e-04,2.323401283597e-03
481.0,20.0,0.039,1.400893249220e-04,2.303166450329e-03
482.0,20.0,0.039,1.388720177806e-04,2.283153069799e-03
483.0,20.0,0.039,1.376680021319e-04,2.263358210703e-03
484.0,20.0,0.039,1.364771024606e-04,2.243778987446e-03
485.0,20.0,0.039,1.352991459816e-04,2.224412559318e-03
486.0,20.0,0.039,1.341339625908e-04,2.205256129693e-03
487.0,20.0,0.039,1.329813848174e-04,2.186306945232e-03
488.0,20.0,0.039,1.318412477766e-04,2.167562295111e-03
489.0,20.0,0.039,1.307133891232e-04,2.149019510266e-03
490.0,20.0,0.039,1.295976490071e-04,2.130675962646e-03
491.0,20.0,0.039,1.284938700283e-04,2.112529064487e-03
492.0,20.0,0.039,1.274018971942e-04,2.094576267601e-03
493.0,20.0,0.039,1.263215778764e-04,2.076815062672e-03
494.0,20.0,0.039,1.252527617697e-04,2.059242978576e-03
495.0,20.0,0.039,1.241953008509e-04,2.041857581708e-03
496.0,20.0,0.039,1.231490493388e-04,2.024656475324e-03
497.0,20.0,0.039,1.221138636552e-04,2.007637298897e-03
498.0,20.0,0.039,1.210896023863e-04,1.990797727487e-03
499.0,20.0,0.039,1.200761262452e-04,1.974135471118e-03
500.0,20.0,0.039,1.190732980347e-04,1.957648274173e-03
501.0,20.0,0.039,1.180809826115e-04,1.941333914802e-03
502.0,20.0,0.039,1.170990468504e-04,1.925190204333e-03
503.0,20.0,0.039,1.161273596097e-04,1.909214986704e-03
504.0,20.0,0.039,1.151657916969e-04,1.893406137902e-03
505.0,20.0,0.039,1.142142158356e-04,1.877761565412e-03
506.0,20.0,0.039,1.132725066323e-04,1.862279207680e-03
507.0,20.0,0.039,1.123405405448e-04,1.846957033583e-03
508.0,20.0,0.039,1.114181958500e-04,1.831793041910e-03
509.0,20.0,0.039,1.105053526137e-04,1.816785260856e-03
510.0,20.0,0.039,1.096018926596e-04,1.801931747524e-03
511.0,20.0,0.039,1.087076995401e-04,1.787230587431e-03
512.0,20.0,0.039,1.078226585069e-04,1.772679894036e-03
513.0,20.0,0.039,1.069466564824e-04,1.758277808265e-03
514.0,20.0,0.039,1.060795820319e-04,1.744022498051e-03
515.0,20.0,0.039,1.052213253355e-04,1.729912157881e-03
516.0,20.0,0.039,1.043717781618e-04,1.715945008354e-03
517.0,20.0,0.039,1.035308338410e-04,1.702119295742e-03
518.0,20.0,0.039,1.026983872389e-04,1.688433291568e-03
519.0,20.0,0.039,1.018743347317e-04,1.674885292182e-03
520.0,20.0,0.039,1.010585741806e-04,1.661473618354e-03
521.0,20.0,0.039,1.002510049077e-04,1.648196614866e-03
522.0,20.0,0.039,9.945152767162e-05,1.635052650120e-03
523.0,20.0,0.039,9.866004464381e-05,1.622040115748e-03
524.0,20.0,0.039,9.787645938564e-05,1.609157426232e-03
525.0,20.0,0.039,9.710067682547e-05,1.596403018525e-03
526.0,20.0,0.039,9.633260323634e-05,1.583775351693e-03
527.0,20.0,0.039,9.557214621407e-05,1.571272906546e-03
528.0,20.0,0.039,9.481921465574e-05,1.558894185287e-03
529.0,20.0,0.039,9.407371873857e-05,1.546637711167e-03
530.0,20.0,0.039,9.333556989918e-05,1.534502028144e-03
531.0,20.0,0.039,9.260468081330e-05,1.522485700544e-03
532.0,20.0,0.039,9.188096537574e-05,1.510587312738e-03
533.0,20.0,0.039,9.116433868078e-05,1.498805468817e-03
534.0,20.0,0.039,9.045471700299e-05,1.487138792276e-03
535.0,20.0,0.039,8.975201777824e-05,1.475585925703e-03
536.0,20.0,0.039,8.905615958522e-05,1.464145530475e-03
537.0,20.0,0.039,8.836706212718e-05,1.452816286457e-03
538.0,20.0,0.039,8.768464621403e-05,1.441596891709e-03
539.0,20.0,0.039,8.700883374482e-05,1.430486062196e-03
540.0,20.0,0.039,8.633954769046e-05,1.419482531506e-03
541.0,20.0,0.039,8.567671207678e-05,1.408585050571e-03
542.0,20.0,0.039,8.502025196788e-05,1.397792387393e-03
543.0,20.0,0.039,8.437009344984e-05,1.387103326774e-03
544.0,20.0,0.039,8.372616361461e-05,1.376516670055e-03
545.0,20.0,0.039,8.308839054431e-05,1.366031234857e-03
546.0,20.0,0.039,8.245670329568e-05,1.355645854822e-03
547.0,20.0,0.039,8.183103188494e-05,1.345359379368e-03
548.0,20.0,0.039,8.121130727283e-05,1.335170673442e-03
549.0,20.0,0.039,8.059746134989e-05,1.325078617276e-03
550.0,20.0,0.039,7.998942692213e-05,1.315082106154e-03
551.0,20.0,0.039,7.938713769679e-05,1.305180050177e-03
552.0,20.0,0.039,7.879052826848e-05,1.295371374034e-03
553.0,20.0,0.039,7.819953410547e-05,1.285655016779e-03
554.0,20.0,0.039,7.761409153630e-05,1.276029931608e-03
555.0,20.0,0.039,7.703413773653e-05,1.266495085643e-03
556.0,20.0,0.039,7.645961071583e-05,1.257049459721e-03
557.0,20.0,0.039,7.589044930520e-05,1.247692048180e-03
558.0,20.0,0.039,7.532659314446e-05,1.238421858657e-03
559.0,20.0,0.039,7.476798266994e-05,1.229237911883e-03
560.0,20.0,0.039,7.421455910239e-05,1.220139241486e-03
561.0,20.0,0.039,7.366626443510e-05,1.211124893795e-03
562.0,20.0,0.039,7.312304142222e-05,1.202193927649e-03
563.0,20.0,0.039,7.258483356725e-05,1.193345414205e-03
564.0,20.0,0.039,7.205158511180e-05,1.184578436758e-03
565.0,20.0,0.039,7.152324102447e-05,1.175892090551e-03
566.0,20.0,0.039,7.099974698995e-05,1.167285482603e-03
567.0,20.0,0.039,7.048104939831e-05,1.158757731530e-03
568.0,20.0,0.039,6.996709533447e-05,1.150307967370e-03
569.0,20.0,0.039,6.945783256782e-05,1.141935331417e-03
570.0,20.0,0.039,6.895320954204e-05,1.133638976047e-03
571.0,20.0,0.039,6.845317536513e-05,1.125418064562e-03
572.0,20.0,0.039,6.795767979951e-05,1.117271771019e-03
573.0,20.0,0.039,6.746667325238e-05,1.109199280079e-03
574.0,20.0,0.039,6.698010676620e-05,1.101199786845e-03
575.0,20.0,0.039,6.649793200931e-05,1.093272496711e-03
576.0,20.0,0.039,6.602010126675e-05,1.085416625211e-03
577.0,20.0,0.039,6.554656743124e-05,1.077631397867e-03
578.0,20.0,0.039,6.507728399423e-05,1.069916050045e-03
579.0,20.0,0.039,6.461220503716e-05,1.062269826814e-03
580.0,20.0,0.039,6.415128522290e-05,1.054691982798e-03
581.0,20.0,0.039,6.369447978726e-05,1.047181782044e-03
582.0,20.0,0.039,6.324174453063e-05,1.039738497879e-03
583.0,20.0,0.039,6.279303580987e-05,1.032361412778e-03
584.0,20.0,0.039,6.234831053021e-05,1.025049818234e-03
585.0,20.0,0.039,6.190752613732e-05,1.017803014625e-03
586.0,20.0,0.039,6.147064060956e-05,1.010620311084e-03
587.0,20.0,0.039,6.103761245029e-05,1.003501025378e-03
588.0,20.0,0.039,6.060840068035e-05,9.964444837806e-04
589.0,20.0,0.039,6.018296483061e-05,9.894500209517e-04
590.0,20.0,0.039,5.976126493472e-05,9.825169798163e-04
591.0,20.0,0.039,5.934326152190e-05,9.756447114471e-04
592.0,20.0,0.039,5.892891560990e-05,9.688325749487e-04
